[chain] waiting for phase-1 inventory to complete (Fri Jul 24 02:54:34 WEST 2026)
[chain] inventory complete: 9861 charts. unique images:
charts inventoried : 9861 (9826 ok)
unique images      : 8397
[chain] launching phase-2 CVE scan (Fri Jul 24 03:50:16 WEST 2026)
cve: 8397 unique images, 0 done, 8397 to scan (6 workers)
  1370/8397 (4526/h, ETA 1.6h)
  1380/8397 (4518/h, ETA 1.6h)
  1390/8397 (4524/h, ETA 1.5h)
  1400/8397 (4518/h, ETA 1.5h)
  1410/8397 (4521/h, ETA 1.5h)
  1420/8397 (4523/h, ETA 1.5h)
  1430/8397 (4514/h, ETA 1.5h)
  1440/8397 (4506/h, ETA 1.5h)
  1450/8397 (4498/h, ETA 1.5h)
  1460/8397 (4500/h, ETA 1.5h)
  1470/8397 (4506/h, ETA 1.5h)
  1480/8397 (4510/h, ETA 1.5h)
  1490/8397 (4511/h, ETA 1.5h)
  1500/8397 (4507/h, ETA 1.5h)
  1510/8397 (4509/h, ETA 1.5h)
  1520/8397 (4501/h, ETA 1.5h)
  1530/8397 (4505/h, ETA 1.5h)
  1540/8397 (4498/h, ETA 1.5h)
  1550/8397 (4502/h, ETA 1.5h)
  1560/8397 (4494/h, ETA 1.5h)
  1570/8397 (4495/h, ETA 1.5h)
  1580/8397 (4504/h, ETA 1.5h)
  1590/8397 (4519/h, ETA 1.5h)
  1600/8397 (4525/h, ETA 1.5h)
  1610/8397 (4529/h, ETA 1.5h)
  1620/8397 (4537/h, ETA 1.5h)
  1630/8397 (4540/h, ETA 1.5h)
  1640/8397 (4541/h, ETA 1.5h)
  1650/8397 (4534/h, ETA 1.5h)
  1660/8397 (4529/h, ETA 1.5h)
  1670/8397 (4546/h, ETA 1.5h)
  1680/8397 (4573/h, ETA 1.5h)
  1690/8397 (4599/h, ETA 1.5h)
  1700/8397 (4626/h, ETA 1.4h)
  1710/8397 (4653/h, ETA 1.4h)
  1720/8397 (4662/h, ETA 1.4h)
  1730/8397 (4657/h, ETA 1.4h)
  1740/8397 (4657/h, ETA 1.4h)
  1750/8397 (4679/h, ETA 1.4h)
  1760/8397 (4705/h, ETA 1.4h)
  1770/8397 (4721/h, ETA 1.4h)
  1780/8397 (4734/h, ETA 1.4h)
  1790/8397 (4739/h, ETA 1.4h)
  1800/8397 (4748/h, ETA 1.4h)
  1810/8397 (4743/h, ETA 1.4h)
  1820/8397 (4741/h, ETA 1.4h)
  1830/8397 (4741/h, ETA 1.4h)
  1840/8397 (4735/h, ETA 1.4h)
  1850/8397 (4742/h, ETA 1.4h)
  1860/8397 (4746/h, ETA 1.4h)
  1870/8397 (4750/h, ETA 1.4h)
  1880/8397 (4748/h, ETA 1.4h)
  1890/8397 (4743/h, ETA 1.4h)
  1900/8397 (4743/h, ETA 1.4h)
  1910/8397 (4745/h, ETA 1.4h)
  1920/8397 (4747/h, ETA 1.4h)
  1930/8397 (4750/h, ETA 1.4h)
  1940/8397 (4755/h, ETA 1.4h)
  1950/8397 (4767/h, ETA 1.4h)
  1960/8397 (4771/h, ETA 1.3h)
  1970/8397 (4775/h, ETA 1.3h)
  1980/8397 (4776/h, ETA 1.3h)
  1990/8397 (4780/h, ETA 1.3h)
  2000/8397 (4792/h, ETA 1.3h)
  2010/8397 (4794/h, ETA 1.3h)
  2020/8397 (4786/h, ETA 1.3h)
  2030/8397 (4790/h, ETA 1.3h)
  2040/8397 (4791/h, ETA 1.3h)
  2050/8397 (4783/h, ETA 1.3h)
  2060/8397 (4788/h, ETA 1.3h)
  2070/8397 (4780/h, ETA 1.3h)
  2080/8397 (4781/h, ETA 1.3h)
  2090/8397 (4790/h, ETA 1.3h)
  2100/8397 (4790/h, ETA 1.3h)
  2110/8397 (4789/h, ETA 1.3h)
  2120/8397 (4798/h, ETA 1.3h)
  2130/8397 (4797/h, ETA 1.3h)
  2140/8397 (4798/h, ETA 1.3h)
  2150/8397 (4790/h, ETA 1.3h)
  2160/8397 (4801/h, ETA 1.3h)
  2170/8397 (4797/h, ETA 1.3h)
  2180/8397 (4791/h, ETA 1.3h)
  2190/8397 (4787/h, ETA 1.3h)
  2200/8397 (4798/h, ETA 1.3h)
  2210/8397 (4791/h, ETA 1.3h)
  2220/8397 (4797/h, ETA 1.3h)
  2230/8397 (4801/h, ETA 1.3h)
  2240/8397 (4802/h, ETA 1.3h)
  2250/8397 (4813/h, ETA 1.3h)
  2260/8397 (4806/h, ETA 1.3h)
  2270/8397 (4808/h, ETA 1.3h)
  2280/8397 (4804/h, ETA 1.3h)
  2290/8397 (4815/h, ETA 1.3h)
  2300/8397 (4821/h, ETA 1.3h)
  2310/8397 (4814/h, ETA 1.3h)
  2320/8397 (4811/h, ETA 1.3h)
  2330/8397 (4818/h, ETA 1.3h)
  2340/8397 (4811/h, ETA 1.3h)
  2350/8397 (4812/h, ETA 1.3h)
  2360/8397 (4810/h, ETA 1.3h)
  2370/8397 (4818/h, ETA 1.3h)
  2380/8397 (4812/h, ETA 1.3h)
  2390/8397 (4808/h, ETA 1.2h)
  2400/8397 (4808/h, ETA 1.2h)
  2410/8397 (4818/h, ETA 1.2h)
  2420/8397 (4816/h, ETA 1.2h)
  2430/8397 (4815/h, ETA 1.2h)
  2440/8397 (4816/h, ETA 1.2h)
  2450/8397 (4820/h, ETA 1.2h)
  2460/8397 (4829/h, ETA 1.2h)
  2470/8397 (4832/h, ETA 1.2h)
  2480/8397 (4836/h, ETA 1.2h)
  2490/8397 (4838/h, ETA 1.2h)
  2500/8397 (4842/h, ETA 1.2h)
  2510/8397 (4847/h, ETA 1.2h)
  2520/8397 (4842/h, ETA 1.2h)
  2530/8397 (4843/h, ETA 1.2h)
  2540/8397 (4845/h, ETA 1.2h)
  2550/8397 (4843/h, ETA 1.2h)
  2560/8397 (4849/h, ETA 1.2h)
  2570/8397 (4844/h, ETA 1.2h)
  2580/8397 (4841/h, ETA 1.2h)
  2590/8397 (4845/h, ETA 1.2h)
  2600/8397 (4842/h, ETA 1.2h)
  2610/8397 (4839/h, ETA 1.2h)
  2620/8397 (4842/h, ETA 1.2h)
  2630/8397 (4840/h, ETA 1.2h)
  2640/8397 (4834/h, ETA 1.2h)
  2650/8397 (4838/h, ETA 1.2h)
  2660/8397 (4838/h, ETA 1.2h)
  2670/8397 (4833/h, ETA 1.2h)
  2680/8397 (4837/h, ETA 1.2h)
  2690/8397 (4833/h, ETA 1.2h)
  2700/8397 (4839/h, ETA 1.2h)
  2710/8397 (4834/h, ETA 1.2h)
  2720/8397 (4827/h, ETA 1.2h)
  2730/8397 (4828/h, ETA 1.2h)
  2740/8397 (4832/h, ETA 1.2h)
  2750/8397 (4826/h, ETA 1.2h)
  2760/8397 (4823/h, ETA 1.2h)
  2770/8397 (4825/h, ETA 1.2h)
  2780/8397 (4824/h, ETA 1.2h)
  2790/8397 (4823/h, ETA 1.2h)
  2800/8397 (4820/h, ETA 1.2h)
  2810/8397 (4825/h, ETA 1.2h)
  2820/8397 (4830/h, ETA 1.2h)
  2830/8397 (4835/h, ETA 1.2h)
  2840/8397 (4829/h, ETA 1.2h)
  2850/8397 (4831/h, ETA 1.1h)
  2860/8397 (4839/h, ETA 1.1h)
  2870/8397 (4840/h, ETA 1.1h)
  2880/8397 (4841/h, ETA 1.1h)
  2890/8397 (4836/h, ETA 1.1h)
  2900/8397 (4849/h, ETA 1.1h)
  2910/8397 (4866/h, ETA 1.1h)
  2920/8397 (4882/h, ETA 1.1h)
  2930/8397 (4898/h, ETA 1.1h)
  2940/8397 (4915/h, ETA 1.1h)
  2950/8397 (4931/h, ETA 1.1h)
  2960/8397 (4948/h, ETA 1.1h)
  2970/8397 (4956/h, ETA 1.1h)
  2980/8397 (4955/h, ETA 1.1h)
  2990/8397 (4953/h, ETA 1.1h)
  3000/8397 (4955/h, ETA 1.1h)
  3010/8397 (4967/h, ETA 1.1h)
  3020/8397 (4974/h, ETA 1.1h)
  3030/8397 (4978/h, ETA 1.1h)
  3040/8397 (4973/h, ETA 1.1h)
  3050/8397 (4969/h, ETA 1.1h)
  3060/8397 (4969/h, ETA 1.1h)
  3070/8397 (4969/h, ETA 1.1h)
  3080/8397 (4971/h, ETA 1.1h)
  3090/8397 (4965/h, ETA 1.1h)
  3100/8397 (4969/h, ETA 1.1h)
  3110/8397 (4970/h, ETA 1.1h)
  3120/8397 (4967/h, ETA 1.1h)
  3130/8397 (4961/h, ETA 1.1h)
  3140/8397 (4969/h, ETA 1.1h)
  3150/8397 (4963/h, ETA 1.1h)
  3160/8397 (4958/h, ETA 1.1h)
  3170/8397 (4961/h, ETA 1.1h)
  3180/8397 (4960/h, ETA 1.1h)
  3190/8397 (4956/h, ETA 1.1h)
  3200/8397 (4958/h, ETA 1.0h)
  3210/8397 (4958/h, ETA 1.0h)
  3220/8397 (4967/h, ETA 1.0h)
  3230/8397 (4967/h, ETA 1.0h)
  3240/8397 (4968/h, ETA 1.0h)
  3250/8397 (4969/h, ETA 1.0h)
  3260/8397 (4971/h, ETA 1.0h)
  3270/8397 (4979/h, ETA 1.0h)
  3280/8397 (4979/h, ETA 1.0h)
  3290/8397 (4981/h, ETA 1.0h)
  3300/8397 (4983/h, ETA 1.0h)
  3310/8397 (4985/h, ETA 1.0h)
  3320/8397 (4992/h, ETA 1.0h)
  3330/8397 (4992/h, ETA 1.0h)
  3340/8397 (4992/h, ETA 1.0h)
  3350/8397 (4994/h, ETA 1.0h)
  3360/8397 (4996/h, ETA 1.0h)
  3370/8397 (5002/h, ETA 1.0h)
  3380/8397 (5003/h, ETA 1.0h)
  3390/8397 (5003/h, ETA 1.0h)
  3400/8397 (5005/h, ETA 1.0h)
  3410/8397 (5007/h, ETA 1.0h)
  3420/8397 (5009/h, ETA 1.0h)
  3430/8397 (5005/h, ETA 1.0h)
  3440/8397 (5012/h, ETA 1.0h)
  3450/8397 (5009/h, ETA 1.0h)
  3460/8397 (5004/h, ETA 1.0h)
  3470/8397 (5003/h, ETA 1.0h)
  3480/8397 (5004/h, ETA 1.0h)
  3490/8397 (5006/h, ETA 1.0h)
  3500/8397 (5008/h, ETA 1.0h)
  3510/8397 (5008/h, ETA 1.0h)
  3520/8397 (5015/h, ETA 1.0h)
