repo_url,repo_name,chart_path,values_files,helm_command,error_message
https://github.com/mobilecoinfoundation/mobilecoin,mobilecoinfoundation/mobilecoin,D:\helm_clones_github\mobilecoinfoundation__mobilecoin\.internal-ci\helm\fog-view-service,,helm template test D:\helm_clones_github\mobilecoinfoundation__mobilecoin\.internal-ci\helm\fog-view-service,"Error: execution error at (fog-view-service/templates/fog-view-service-router-servicemonitor.yaml:2:45): mobilecoin.network is required.

Use --debug flag to render out invalid YAML
"
https://github.com/banzaicloud/istio-operator,banzaicloud/istio-operator,D:\helm_clones_github\banzaicloud__istio-operator\deploy\charts\istio-operator,,helm template test D:\helm_clones_github\banzaicloud__istio-operator\deploy\charts\istio-operator,"Error: chart requires kubeVersion: >= 1.23.0-0 < 1.27.0-0 which is incompatible with Kubernetes v1.36.0

Use --debug flag to render out invalid YAML
"
https://github.com/llm-d/llm-d-router,llm-d/llm-d-router,D:\helm_clones_github\llm-d__llm-d-router\config\charts\llm-d-router-gateway,,helm template test D:\helm_clones_github\llm-d__llm-d-router\config\charts\llm-d-router-gateway,"Error: execution error at (llm-d-router-gateway/templates/inferenceextension.yaml:8:3): .Values.router.modelServers.matchLabels is required

Use --debug flag to render out invalid YAML
"
https://github.com/llm-d/llm-d-router,llm-d/llm-d-router,D:\helm_clones_github\llm-d__llm-d-router\config\charts\llm-d-router-standalone,,helm template test D:\helm_clones_github\llm-d__llm-d-router\config\charts\llm-d-router-standalone,"Error: execution error at (llm-d-router-standalone/templates/inferenceextension.yaml:11:3): .Values.router.modelServers.matchLabels is required

Use --debug flag to render out invalid YAML
"
https://github.com/llm-d/llm-d-router,llm-d/llm-d-router,D:\helm_clones_github\llm-d__llm-d-router\config\charts\routerlib,,helm template test D:\helm_clones_github\llm-d__llm-d-router\config\charts\routerlib,"Error: library charts are not installable
"
https://github.com/Gradiant/5g-charts,Gradiant/5g-charts,D:\helm_clones_github\Gradiant__5g-charts\charts\jitsi\charts\prosody,,helm template test D:\helm_clones_github\Gradiant__5g-charts\charts\jitsi\charts\prosody,"Error: prosody/templates/statefulset.yaml:21:56
  executing ""prosody/templates/statefulset.yaml"" at <.Values.global.podLabels>:
    nil pointer evaluating interface {}.podLabels

Use --debug flag to render out invalid YAML
"
https://github.com/0xPolygonID/issuer-node,0xPolygonID/issuer-node,D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm,,helm template test D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm,"Error: privadoid-issuer/templates/issuer-node-service-account.yml:7:10
  executing ""privadoid-issuer/templates/issuer-node-service-account.yml"" at <include ""polygon-id-issuer.staticLabel"" .>:
    error calling include:
template: no template ""polygon-id-issuer.staticLabel"" associated with template ""gotpl""

Use --debug flag to render out invalid YAML
"
https://github.com/0xPolygonID/issuer-node,0xPolygonID/issuer-node,D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\ingress,,helm template test D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\ingress,"Error: ingress/templates/traefik.yaml:11:20
  executing ""ingress/templates/traefik.yaml"" at <.Values.global.uidomain>:
    nil pointer evaluating interface {}.uidomain

Use --debug flag to render out invalid YAML
"
https://github.com/0xPolygonID/issuer-node,0xPolygonID/issuer-node,D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\postgres,,helm template test D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\postgres,"Error: postgres/templates/service.yaml:7:8
  executing ""postgres/templates/service.yaml"" at <include ""privadoid-issuer.postgresIssuerNode.common.labels"" .>:
    error calling include:
postgres/templates/_helpers.tpl:5:18
  executing ""privadoid-issuer.postgresIssuerNode.common.labels"" at <include ""privadoid-issuer.chart"" .>:
    error calling include:
template: no template ""privadoid-issuer.chart"" associated with template ""gotpl""

Use --debug flag to render out invalid YAML
"
https://github.com/0xPolygonID/issuer-node,0xPolygonID/issuer-node,D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\redis,,helm template test D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\redis,"Error: redis/templates/service.yaml:7:8
  executing ""redis/templates/service.yaml"" at <include ""privadoid-issuer.redisIssuerNode.common.labels"" .>:
    error calling include:
redis/templates/_helpers.tpl:5:18
  executing ""privadoid-issuer.redisIssuerNode.common.labels"" at <include ""privadoid-issuer.chart"" .>:
    error calling include:
template: no template ""privadoid-issuer.chart"" associated with template ""gotpl""

Use --debug flag to render out invalid YAML
"
https://github.com/0xPolygonID/issuer-node,0xPolygonID/issuer-node,D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\vault,,helm template test D:\helm_clones_github\0xPolygonID__issuer-node\k8s\helm\charts\vault,"Error: vault/templates/service.yaml:7:8
  executing ""vault/templates/service.yaml"" at <include ""privadoid-issuer.vaultIssuerNode.common.labels"" .>:
    error calling include:
vault/templates/_helpers.tpl:5:18
  executing ""privadoid-issuer.vaultIssuerNode.common.labels"" at <include ""privadoid-issuer.chart"" .>:
    error calling include:
template: no template ""privadoid-issuer.chart"" associated with template ""gotpl""

Use --debug flag to render out invalid YAML
"
